[2023-09-16T15:54:01+0200] [ALPM] removed djvulibre (3.5.28-5)
[2023-09-16T15:54:01+0200] [ALPM] removed gvfs (1.50.6-1)
[2023-09-16T15:54:01+0200] [ALPM] removed libcdio-paranoia (10.2+2.0.1-3)
[2023-09-16T15:54:01+0200] [ALPM] removed libcdio (2.1.0-3)
[2023-09-16T15:54:01+0200] [ALPM] removed fuse3 (3.16.1-1)
[2023-09-16T15:54:01+0200] [ALPM] removed fuse-common (3.16.1-1)
[2023-09-16T15:54:01+0200] [ALPM] removed udisks2 (2.9.4-4)
[2023-09-16T15:54:01+0200] [ALPM] removed libblockdev (2.28-4)
[2023-09-16T15:54:01+0200] [ALPM] removed volume_key (0.3.12-8)
[2023-09-16T15:54:01+0200] [ALPM] removed mdadm (4.2-2)
[2023-09-16T15:54:01+0200] [ALPM] removed libbytesize (2.8-2)
[2023-09-16T15:54:01+0200] [ALPM] removed gptfdisk (1.0.9-2)
[2023-09-16T15:54:01+0200] [ALPM] removed parted (3.6-1)
[2023-09-16T15:54:01+0200] [ALPM] removed libatasmart (0.19-6)
[2023-09-16T15:54:01+0200] [ALPM] removed gcr (3.41.1-4)
[2023-09-16T15:54:01+0200] [ALPM] removed epiphany (44.7-1)
[2023-09-16T15:54:01+0200] [ALPM] removed webkitgtk-6.0 (2.40.5-2)
[2023-09-16T15:54:01+0200] [ALPM] removed xdg-dbus-proxy (0.1.5-1)
[2023-09-16T15:54:01+0200] [ALPM] removed wpebackend-fdo (1.14.2-1)
[2023-09-16T15:54:01+0200] [ALPM] removed woff2 (1.0.2-4)
[2023-09-16T15:54:01+0200] [ALPM] removed libwpe (1.14.1-2)
[2023-09-16T15:54:01+0200] [ALPM] removed libmanette (0.2.6-5)
[2023-09-16T15:54:01+0200] [ALPM] removed libavif (1.0.1-1)
[2023-09-16T15:54:01+0200] [ALPM] removed libyuv (r2322+3aebf69d-1)
[2023-09-16T15:54:01+0200] [ALPM] removed hyphen (2.8.8-5)
[2023-09-16T15:54:01+0200] [ALPM] removed harfbuzz-icu (8.2.0-1)
[2023-09-16T15:54:01+0200] [ALPM] removed enchant (2.5.0-1)
[2023-09-16T15:54:01+0200] [ALPM] removed libportal-gtk4 (0.7-1)
[2023-09-16T15:54:02+0200] [ALPM] removed libportal (0.7-1)
[2023-09-16T15:54:02+0200] [ALPM-SCRIPTLET] Removed "/etc/systemd/user/sockets.target.wants/gcr-ssh-agent.socket".
[2023-09-16T15:54:02+0200] [ALPM] removed gcr-4 (4.1.0-1)
[2023-09-16T15:54:02+0200] [ALPM] removed eog (44.3-1)
[2023-09-16T15:54:02+0200] [ALPM] removed webp-pixbuf-loader (0.2.4-1)
[2023-09-16T15:54:02+0200] [ALPM] removed libpeas (1.36.0-2)
[2023-09-16T15:54:02+0200] [ALPM] removed gobject-introspection-runtime (1.78.0-1)
[2023-09-16T15:54:02+0200] [ALPM] removed libgirepository (1.78.0-1)
[2023-09-16T15:54:02+0200] [ALPM] removed libhandy (1.8.2-1)
[2023-09-16T15:54:02+0200] [ALPM] removed libexif (0.6.24-2)
[2023-09-16T15:54:02+0200] [ALPM] removed exempi (2.6.4-1)
[2023-09-16T15:54:02+0200] [ALPM] removed cheese (44.1-1)
[2023-09-16T15:54:02+0200] [ALPM] removed libcheese (44.1-1)
[2023-09-16T15:54:02+0200] [ALPM] removed libcanberra (1:0.30+r2+gc0620e4-3)
[2023-09-16T15:54:02+0200] [ALPM] removed tdb (1.4.9-1)
[2023-09-16T15:54:02+0200] [ALPM] removed sound-theme-freedesktop (0.8-5)
[2023-09-16T15:54:02+0200] [ALPM] removed gst-plugins-base (1.22.5-2)
[2023-09-16T15:54:02+0200] [ALPM] removed cdparanoia (10.2-8)
[2023-09-16T15:54:02+0200] [ALPM] removed gnome-video-effects (1:0.6.0-1)
[2023-09-16T15:54:02+0200] [ALPM] removed frei0r-plugins (2.3.0-2)
[2023-09-16T15:54:02+0200] [ALPM] removed gst-plugins-good (1.22.5-2)
[2023-09-16T15:54:02+0200] [ALPM] removed wavpack (5.6.0-1)
[2023-09-16T15:54:02+0200] [ALPM] removed twolame (0.4.0-3)
[2023-09-16T15:54:02+0200] [ALPM] removed taglib (1.13.1-1)
[2023-09-16T15:54:02+0200] [ALPM] removed libshout (1:2.4.6-2)
[2023-09-16T15:54:02+0200] [ALPM] removed libcaca (0.99.beta20-2)
[2023-09-16T15:54:02+0200] [ALPM] removed imlib2 (1.12.0-1)
[2023-09-16T15:54:02+0200] [ALPM] removed glu (9.0.3-1)
[2023-09-16T15:54:02+0200] [ALPM] removed freeglut (3.4.0-1)
[2023-09-16T15:54:02+0200] [ALPM] removed aalib (1.4rc5-17)
[2023-09-16T15:54:02+0200] [ALPM] removed gst-plugins-bad (1.22.5-2)
[2023-09-16T15:54:02+0200] [ALPM] removed zxing-cpp (2.1.0-1)
[2023-09-16T15:54:02+0200] [ALPM] removed zvbi (0.2.42-1)
[2023-09-16T15:54:02+0200] [ALPM] removed zbar (0.23.90-3)
[2023-09-16T15:54:02+0200] [ALPM] removed imagemagick (7.1.1.15-4)
[2023-09-16T15:54:02+0200] [ALPM] removed libraqm (0.10.1-1)
[2023-09-16T15:54:02+0200] [ALPM] removed liblqr (0.4.2-3)
[2023-09-16T15:54:02+0200] [ALPM] removed fftw (3.3.10-4)
[2023-09-16T15:54:02+0200] [ALPM] removed openmpi (4.1.5-5)
[2023-09-16T15:54:02+0200] [ALPM] removed openpmix (4.2.6-1)
[2023-09-16T15:54:02+0200] [ALPM] removed hwloc (2.9.1-1)
[2023-09-16T15:54:02+0200] [ALPM] removed openssh (9.4p1-4)
[2023-09-16T15:54:02+0200] [ALPM] removed ldns (1.8.3-2)
[2023-09-16T15:54:02+0200] [ALPM] removed dnssec-anchors (20190629-3)
[2023-09-16T15:54:02+0200] [ALPM] removed libtool (2.4.7+4+g1ec8fa28-6)
[2023-09-16T15:54:02+0200] [ALPM] removed wildmidi (0.4.5-2)
[2023-09-16T15:54:02+0200] [ALPM] removed webrtc-audio-processing (0.3.1-4)
[2023-09-16T15:54:02+0200] [ALPM] removed svt-hevc (1.5.1-2)
[2023-09-16T15:54:02+0200] [ALPM] removed spandsp (0.0.6-5)
[2023-09-16T15:54:02+0200] [ALPM] removed soundtouch (2.3.2-1)
[2023-09-16T15:54:02+0200] [ALPM] removed rtmpdump (1:2.4.r99.f1b83c1-2)
[2023-09-16T15:54:02+0200] [ALPM] removed openal (1.23.1-1)
[2023-09-16T15:54:02+0200] [ALPM] removed neon (0.32.5-2)
[2023-09-16T15:54:02+0200] [ALPM] removed mjpegtools (2.2.1-2)
[2023-09-16T15:54:02+0200] [ALPM] removed libdv (1.0.0-11)
[2023-09-16T15:54:02+0200] [ALPM] removed libsrtp (1:2.5.0-1)
[2023-09-16T15:54:02+0200] [ALPM] removed libmpcdec (1:0.1+r475-4)
[2023-09-16T15:54:02+0200] [ALPM] removed libmicrodns (0.2.0-1)
[2023-09-16T15:54:02+0200] [ALPM] removed libltc (1.3.2-1)
[2023-09-16T15:54:02+0200] [ALPM] removed liblrdf (0.6.1-4)
[2023-09-16T15:54:02+0200] [ALPM] removed raptor (2.0.16-3)
[2023-09-16T15:54:02+0200] [ALPM] removed libxslt (1.1.38-1)
[2023-09-16T15:54:02+0200] [ALPM] removed libkate (0.4.1-9)
[2023-09-16T15:54:02+0200] [ALPM] removed libgme (0.6.3-4)
[2023-09-16T15:54:02+0200] [ALPM] removed libdvdnav (6.1.1-2)
[2023-09-16T15:54:02+0200] [ALPM] removed libde265 (1.0.12-1)
[2023-09-16T15:54:02+0200] [ALPM] removed libdca (0.0.7-2)
[2023-09-16T15:54:02+0200] [ALPM] removed libdc1394 (2.2.7-1)
[2023-09-16T15:54:02+0200] [ALPM] removed libavtp (0.2.0-2)
[2023-09-16T15:54:02+0200] [ALPM] removed fluidsynth (2.3.3-1)
[2023-09-16T15:54:02+0200] [ALPM] removed libinstpatch (1.1.6-2)
[2023-09-16T15:54:02+0200] [ALPM] removed faad2 (2.10.1-1)
[2023-09-16T15:54:02+0200] [ALPM] removed faac (1.30-4)
[2023-09-16T15:54:02+0200] [ALPM] removed chromaprint (1.5.1-7)
[2023-09-16T15:54:02+0200] [ALPM] removed ffmpeg (2:6.0-10)
[2023-09-16T15:54:02+0200] [ALPM] removed zimg (3.0.5-1)
[2023-09-16T15:54:02+0200] [ALPM] removed xvidcore (1.3.7-2)
[2023-09-16T15:54:02+0200] [ALPM] removed x264 (3:0.164.r3095.baee400-4)
[2023-09-16T15:54:02+0200] [ALPM] removed l-smash (2.14.5-3)
[2023-09-16T15:54:02+0200] [ALPM] removed vmaf (2.3.1-1)
[2023-09-16T15:54:02+0200] [ALPM] removed vid.stab (1.1.1-1)
[2023-09-16T15:54:02+0200] [ALPM] removed opencore-amr (0.1.6-1)
[2023-09-16T15:54:02+0200] [ALPM] removed ocl-icd (2.3.2-1)
[2023-09-16T15:54:02+0200] [ALPM] removed libvdpau (1.5-2)
[2023-09-16T15:54:02+0200] [ALPM] removed libssh (0.10.5-1)
[2023-09-16T15:54:02+0200] [ALPM] removed libmfx (23.2.2-2)
[2023-09-16T15:54:02+0200] [ALPM] removed libjxl (0.8.2-2)
[2023-09-16T15:54:02+0200] [ALPM] removed highway (1.0.7-1)
[2023-09-16T15:54:02+0200] [ALPM] removed gperftools (2.12-1)
[2023-09-16T15:54:02+0200] [ALPM] removed openexr (3.2.0-2)
